0.dialogue6,Und andere helfen mit beim Zersetzen und Umwandeln von organischem Material. So machen wir Böden fruchtbar.,D’autres aident à décomposer ou transformer les matières organiques. Et ainsi à rendre le sol fertile.,Others help to break down and convert organic matter. That is how we keep the soil fertile.,,
0.dialogue7,"Glaub mir, ohne uns Insekten seid ihr Menschen ziemlich aufgeschmissen.","Crois-moi, sans nous les insectes, les humains seraient plutôt paumés.","Believe me, without insects like me, people like you would be pretty lost.",,
0.question1,"Wann hast du eigentlich zum letzten Mal einem Insekt zugeguckt? Ich meine, so richtig, länger als 5 Sekunden?","Quand as-tu regardé un insecte pour la dernière fois? Je veux dire: vraiment, plus que 5 secondes?","When was the last time you watched an insect? I mean really watched it, for longer than 5 seconds?",,
0.question1.answer0,Das mache ich häufig.,Je le fais souvent.,I do that quite often.,,
0.question1.answer1,Das ist schon eine Weile her.,Il y a un moment déjà., It has been a while.,,
0.question1.answer2,"Mache ich nur, wenn ihr mich nervt.",Je le fais seulement quand vous m'énervez.,I only do that if one of you gets on my nerves.,,
0.question1.answer3,Keine Ahnung., Aucune idée., No idea.,,
0.dialogue8,"Aha, interessant. Ich habe noch viele spannende Fragen an dich.","Ah, intéressant. J’ai encore beaucoup de questions passionnantes à te poser.","Ah, that’s interesting. I have a few more fascinating questions to ask you.",,
0.dialogue9,"Überall, wo du eine solche Computerstation siehst, kannst du dich mit deinem Jeton anmelden. Dann sehen wir uns wieder.","Partout où tu verras une station comme celle-ci, tu peux t’annoncer au moyen de ton jeton. Alors à plus!","Wherever you see a computer terminal like this one, you can log in using your token. And then we will meet again.",,
0.dialogue10,"Zum Schluss finden wir gemeinsam heraus, was du für die Umwelt tun kannst.","À la fin, nous trouverons ensemble ce que tu peux faire pour l’environnement.",At the end we will find out what you can do for the environment.,,
0.dialogueEnd0,Bist du dabei? Mega! Dann sehen wir uns bei der nächsten Station. Tschüss!,Tu participes? Super! Alors à plus à la prochaine station. Tchao!,Are you up for it? Great! See you at the next terminal. So bye for now!,,
0.dialogueEnd1,Bist du dabei? Mega! Dann fahren wir doch gleich weiter und reden über Kleider.,Tu participes? Super! Alors commençons tout de suite par l’habillement.,Are you up for it? Great! So let’s keep going and talk about clothes.,,
0.dialogueEnd2,Bist du dabei? Mega! Dann fahren wir doch gleich weiter und reden übers Wohnen.,Tu participes? Super! Alors continuons avec le logement.,Are you up for it? Great! So let’s keep going and talk about your home.,,
0.dialogueEnd3,"Bist du dabei? Mega! Dann fahren wir doch gleich weiter und reden darüber, wie du unterwegs bist.",Tu participes? Super! Alors continuons tout de suite avec la mobilité.,Are you up for it? Great! So let’s keep going and talk about how you move around.,,
0.dialogueEnd4,Bist du dabei? Mega! Dann fahren wir doch gleich weiter und reden übers Essen.,Tu participes? Super! Alors continuons avec l’alimentation.,Are you up for it? Great! So let’s keep going and talk about food.,,
1.dialogue1,"Hallo, da bist du ja wieder.","Hello, c’est à nouveau toi.","Hi, there you are again.",,
1.dialogue2,"Übrigens: Wenn du mehr über mich erfahren willst, dann tippe mich an!","Au fait: si tu veux en savoir plus sur moi, touche-moi du doigt!","By the way, if you want to know more about me, then just tap me!",,
1.dialogue3,"So, sprechen wir ein bisschen über Kleidung.","O.K., parlons donc de vêtements.","Right, let’s talk a bit about clothes.",,
1.question1,Wie viele Kleider hängen bei dir im Schrank? (Unterhosen und Socken nicht mitgerechnet.),Combien de vêtements y a-t-il dans ton armoire? (Sans les slips et les chaussettes.),How many items of clothing are in your wardrobe? (Not counting socks and underwear.),,
1.question1.answer0,Um die 50 Kleidungsstücke.,Une cinquantaine.,Around 50 items.,,
1.question1.answer1,Um die 100 Kleidungsstücke.,Une centaine.,Around 100 items.,,
1.question1.answer2,Sicher mehr als 100 Kleidungsstücke.,Sûrement plus de 100.,Definitely more than 100 items.,,
1.question1.answer3,Ich kann es wirklich nicht sagen.,Je n’en sais rien.,I really could not say.,,
1.question2,Wie viele Lieblings-T-Shirts hast du?,Combien de t-shirts préférés as-tu?,How many favourite T-shirts do you have?,,
1.question2.answer0,Ich habe kein Lieblings-T-Shirt.,Je n’ai pas de t-shirt préféré.,I don’t have a favourite T-shirt.,,
1.question2.answer1,"Eines, das ich heiss und innig liebe.","Un, que j’adore!",One that I absolutely love!,,
1.question2.answer2,"Ich habe 3–5, die ich oft trage.",J’en ai 3 à 5 que je porte souvent.,I have 3 to 5 that I wear a lot.,,
1.question2.answer3,Ich wechsle zwischen 15 Favoriten.,J’alterne entre mes 15 préférés.,I alternate between 15 of them.,,
1.question3,"Achtest du beim Kauf darauf, aus welchen Fasern die Kleider gemacht sind?",Est-ce que tu regardes en quelle matière sont faits les vêtements que tu achètes?,"When you buy clothes, do you pay attention to the fibres they are made of?",,
1.question3.answer0,"Ja, ich achte beim Kleiderkaufen genau auf die Fasern.","Oui, je regarde soigneusement l’étiquette.","Yes, I pay close attention to the fibres the clothes are made of.",,
1.question3.answer1,"Ja, ich achte darauf, welche Fasern sich gut anfühlen.","Oui, je regarde quelle matière est agréable à porter.","Yes, I make sure to choose fibres that feel nice on the skin.",,
1.question3.answer2,"Nein, ich wähle lieber danach aus, wie ein Kleidungsstück aussieht.","Non, je choisis plutôt selon l’apparence.","No, I prefer to buy clothes that I like the look of.",,
1.question3.answer3,"Ach, es gibt verschiedene Fasern?","Quoi, il existe plusieurs matières?","Oh, are there different fibres?",,
1.question4,Wie oft kommt ein Paket mit Kleidern oder Schuhen bei dir an?,À quelle fréquence reçois-tu des paquets contenant des vêtements ou des chaussures?,How often do you get a delivery of clothes or shoes?,,
1.question4.answer0,0- bis 2-mal pro Jahr.,0 à 2 fois par an.,0 to 2 times a year.,,
1.question4.answer1,1- bis 2-mal pro Halbjahr.,1 à 2 fois par semestre.,2 to 4 times a year.,,
1.question4.answer2,1- bis 2-mal im Monat.,1 à 2 fois par mois.,Once or twice a month.,,
1.question4.answer3,1- bis 2-mal in der Woche.,1 à 2 fois par semaine.,Once or twice a week.,,
1.question5,"Würdest du mehr Geld für Kleider ausgeben, wenn du ein unbegrenztes Budget hättest?",Est-ce que tu dépenserais plus d’argent pour des vêtements si ton budget était illimité?,Would you spend more money on clothes if your budget was unlimited?,,
1.question5.answer0,"Nein, ich möchte eher weniger Kleider kaufen.","Non, j’aimerais plutôt acheter moins de vêtements.","No, I would actually like to buy less clothes.",,
1.question5.answer1,"Ja, dann könnte ich robustere Qualität kaufen.","Oui, je pourrais acheter des vêtements de meilleure qualité.","Yes, I could buy better-quality clothes that would last longer.",,
1.question5.answer2,"Ja, dann könnte ich mir mehr Markenkleider leisten.","Oui, je pourrais me payer davantage de vêtements de marque.","Yes, I could afford to buy more brand-name clothes.",,
1.question5.answer3,"Ja, dann würde ich auch mehr einkaufen.","Oui, j'en achèterais davantage.","Yes, I would buy more.",,
1.dialogue4,"Ssssssuper, vielen Dank! Bis zur nächsten Station.","Ssssssuper, merci! À plus à la prochaine station.","Ssssssuper, thanks! See you at the next terminal.",,
,,,,,
2.dialogue1,"Hallo, schön, dich wiederzusehen. Komm, wir sprechen über das Wohnen.","Hello, c’est chouette de te revoir. Viens, parlons de logement.","Hi, it’s nice to see you again. Let’s talk about your home.",,
2.dialogue2,"Übrigens. Willst du wissen, wo ich lebe? Dann tippe mich an!",Au fait: tu veux savoir où je vis? Alors touche-moi du doigt!,"By the way, would you like to know where I live? Then just tap me!",,
2.dialogue3,"Also, bist du bereit für meine Fragen?","Bon, tu es prêt pour mes questions?","OK, are you ready for my questions?",,
2.question1,"Wie lange dauert es, um dein Zuhause gründlich zu staubsaugen?",Combien de temps te faut-il pour aspirer à fond chez toi?,How long does it take you to vacuum-clean your home?,,
2.question1.answer0,Weniger als eine halbe Stunde.,Moins d’une demi-heure.,Less than half an hour.,,
2.question1.answer1,Eine halbe Stunde.,Une demi-heure.,Half an hour.,,
2.question1.answer2,Etwa eine Stunde.,Environ 1 heure.,About 1 hour.,,
2.question1.answer3,Mehr als 1 Stunde.,Plus d’1 heure.,More than 1 hour.,,
2.question2,"Weisst du, wie dein Zuhause geheizt wird?",Sais-tu comment ton logement est chauffé?,Do you know how your home is heated?,,
2.question2.answer0,Ich heize meine Wohnung so gut wie nicht.,Je ne chauffe quasiment pas mon appartement.,I don’t really heat my home.,,
2.question2.answer1,"Mit erneuerbarer Energie (Fernwärme, Wärmepumpe, Holzheizung).","Avec une énergie renouvelable (chaleur à distance, pompe à chaleur, bois).","With energy from a renewable source (district heating, heat pump, wood-fired heating).",,
2.question2.answer2,Mit Öl oder Gas.,Au fuel ou au gaz.,With oil or gas.,,
2.question2.answer3,Nein.,Non.,No.,,
2.question3,"Wie viele Streaming-Abos für Serien, Filme und Musik hast du?","Combien d’abonnements de streaming as-tu pour des séries, des films ou de la musique?",How many subscriptions to film or music streaming services do you have?,,
2.question3.answer0,Keines.,Aucun.,None.,,
2.question3.answer1,1,1,1,,
2.question3.answer2,2 bis 3.,2 à 3.,2 or 3.,,
2.question3.answer3,Mehr als 3.,Plus de 3.,More than 3.,,
2.question4,Wie gut bist du im Ausmisten?,Est-ce que tu te débarrasses facilement des choses?,How good are you at decluttering your home?,,
2.question4.answer0,"Schlecht, denn ich habe gar nicht so viele Sachen.","Non, car je n’en ai pas beaucoup.","Not very good, but I don’t have that many things.",,
2.question4.answer1,"Super, ich kann vieles weitergeben oder ins Brocki bringen.","Oui, je donne plein de choses ou les apporte dans une boutique de seconde main.","Great, I like to pass things on to other people or bring them to the charity shop.",,
2.question4.answer2,"Schlecht, ich habe zu viele Sachen zu Hause.","Non, j’ai trop de choses chez moi.","Not very good, I have too much stuff.",,
2.question4.answer3,"Super, ich fülle mehrmals im Jahr mehrere Abfallsäcke.","Oui, je remplis plusieurs sacs poubelle par an.","Really good, I fill several bin liners several times a year.",,
2.question5,Was machst du an einem kalten Winterabend?,Que fais-tu par une froide soirée d’hiver?,What do you do on a cold winter’s evening?,,
2.question5.answer0,Ich kuschle mich in eine Decke.,Je m’enroule dans une couverture.,I snuggle under a blanket.,,
2.question5.answer1,Ich trinke etwas Heisses.,Je bois quelque chose de chaud.,I make myself a hot drink.,,
2.question5.answer2,Ich nehme ein warmes Bad.,Je prends un bain chaud.,I take a hot bath.,,
2.question5.answer3,Ich drehe die Heizung hoch.,Je monte le chauffage.,I turn up the heating.,,
2.dialogue4,Das ging ja fix! Ich freue mich schon auf die nächste Fragerunde. Bis bald!,C’est allé vite! Je me réjouis déjà de te revoir pour la prochaine série de questions. À toute!,That was quick! I look forward to the next round of questions. See you soon!,,
,,,,,
3.dialogue1,"Hallo, ich habe schon auf dich gewartet. Bist du viel unterwegs? Ja, ich weiss, ich frage ein bisschen viel. Ich bin halt sehr neugierig.","Hello, je t’attendais. Tu te déplaces beaucoup? Oui, je sais, je pose beaucoup de questions. Je suis très curieux!","Hi, I’ve been waiting for you. Are you on the road a lot? I know, I’m asking lots of questions. You see, I’m a bit nosy.",,
3.dialogue2,Willst du noch etwas über mich erfahren? Dann tippe mich an!,Tu veux savoir d’autres choses sur moi? Alors touche-moi du doigt!,Would you like to know more about me? Then just tap me!,,
3.dialogue3,"So, hier sind meine fünf Fragen zum Thema Mobilität.",Voici mes 5 questions sur le thème de la mobilité.,"OK, here are my five questions about mobility.",,
3.question1,Wie legst du den Weg zur Arbeit oder zur Schule zurück?,Comment vas-tu au travail ou à l’école?,How do you get to work or school?,,
3.question1.answer0,"Zu Fuss, beziehungsweise: Ich habe gar keinen Arbeits- oder Schulweg.","À pied, ou pas du tout.",On foot, or: I don’t actually travel to work or school., or: I don’t actually travel to work or school.
3.question1.answer1,Mit dem Velo.,À vélo.,By bicycle.,,
3.question1.answer2,Mit dem öffentlichen Verkehr.,En transports publics.,By public transport.,,
3.question1.answer3,Mit dem Auto.,En voiture.,By car.,,
3.question2,Wie viele Fahrzeuge mit Motor gibt es in deinem Haushalt?,Combien de véhicules à moteur y a-t-il chez toi?,How many motor vehicles does your household own?,,
3.question2.answer0,Keines.,Aucun.,None.,,
3.question2.answer1,1,1,1,,
3.question2.answer2,2,2,2,,
3.question2.answer3,Mehr als 3.,Plus de 3.,More than 3.,,
3.question3,Wie reist du in die Ferien?,Comment pars-tu en vacances?,How do you go on your holidays?,,
3.question3.answer0,"Ich wähle mein Ziel so, dass ich umweltfreundlich reisen kann.",Je choisis ma destination de manière à pouvoir voyager sans nuire à l’environnement.,I choose a destination that allows me to travel in an environmentally friendly way.,,
3.question3.answer1,"Ich überlege mir immer, wie ich das Fliegen vermeiden kann.",Je regarde toujours si je peux éviter de prendre l’avion.,I always try to avoid air travel.,,
3.question3.answer2,"Ich achte darauf, dass ich möglichst bequem reisen kann.",Je cherche à voyager confortablement.,I choose the mode of transport that allows me to travel in comfort.,,
3.question3.answer3,"Ich wähle das Verkehrsmittel, mit dem ich am schnellsten ans Ziel komme.",Je choisis le moyen de transport le plus rapide pour arriver à destination.,I choose the mode of transport that gets me there the fastest.,,
3.question4,Wo wohnst du?,Où habites-tu?,Where do you live?,,
3.question4.answer0,In einer grösseren Stadt.,Dans une grande ville.,In a relatively big city.,,
3.question4.answer1,In einer Kleinstadt.,Dans une petite ville.,In a small town.,,
3.question4.answer2,In der Agglomeration.,Dans une agglomération.,In an urban area.,,
3.question4.answer3,Auf dem Land.,À la campagne.,In a rural area.,,
3.question5,Wie bist du in der Natur unterwegs?,Comment te déplaces-tu dans la nature?,How do you move around in nature?,,
3.question5.answer0,Ich geniesse vor allem Ruhe in der Natur.,J’apprécie surtout le calme de la nature.,I mainly enjoy the peace and quiet in nature.,,
3.question5.answer1,Ich bin oft zu Fuss oder mit dem Velo unterwegs.,Je me balade souvent à pied ou à vélo.,I often move around on foot or by bicycle.,,
3.question5.answer2,Mich zieht es an spektakuläre Orte in der Natur.,J’aime les coins spectaculaires de la nature.,I love to go the spectacular places in nature.,,
3.question5.answer3,"Ich treibe gerne Sport wie Skifahren, Windsurfen, Mountainbiking …","Je fais du sport, comme du ski, de la planche à voile, du VTT...","I like to do sports like skiing, windsurfing, mountain biking...",,
3.dialogue4,Das ging ja fix! Ich freue mich schon auf die nächste Fragerunde. Bis bald!,C’est allé vite! Je me réjouis déjà de te revoir pour la prochaine série de questions. À toute!,That was quick! I look forward to the next round of questions. See you soon!,,
,,,,,
4.dialogue1,"Hallo, da bist du ja wieder. Ich wundere mich ja immer ein bisschen, was ihr Menschen so alles esst.","Hello, tu es de nouveau là. Je suis toujours un peu étonné de voir ce que vous les humains mangez.","Hi, there you are again. I always wonder what people eat.",,
4.dialogue2,"Willst du wissen, was ich gerne esse? Dann tippe mich an!",Tu veux savoir ce que j’aime manger? Alors touche-moi du doigt!,Would you like to know what I like to eat? Then just tap me!,,
4.dialogue3,"So, jetzt bist du wieder dran.","Bon, c’est à toi.","Right, your turn again.",,
4.question1,"Wenn du ein grösseres Budget fürs Essen hättest, wie würdest du es ausgeben?","Si ton budget alimentation était moins limité, comment le dépenserais-tu?","If you had a bigger food budget, what would you spend the extra money on?",,
4.question1.answer0,Ich würde mehr Biolebensmittel und lokale Produkte kaufen.,J’achèterais davantage de produits bio et locaux.,I would buy more organic food and local produce.,,
4.question1.answer1,Ich würde auf bessere Qualität achten.,Je veillerais davantage à la qualité.,I would buy better-quality food.,,
4.question1.answer2,Ich würde mehr Lebensmittel einkaufen.,J’achèterais plus de nourriture.,I would buy more food.,,
4.question1.answer3,Ich würde mehr exotische und ausgefallene Delikatessen kaufen.,J’achèterais plus de produits fins ou exotiques.,I would buy more exotic or unusual products.,,
4.question2,Wie häufig isst du Fleisch oder Fisch?,À quelle fréquence manges-tu de la viande ou du poisson?,How often do you eat meat or fish?,,
4.question2.answer0,Nie.,Jamais.,Never.,,
4.question2.answer1,1- bis 2-mal in der Woche.,1 à 2 fois par semaine.,Once or twice a week.,,
4.question2.answer2,3- bis 5-mal pro Woche.,3 à 5 fois par semaine.,3 to 5 times a week.,,
4.question2.answer3,Täglich.,Tous les jours.,Every day.,,
4.question3,Wie oft schmeisst du Lebensmittel weg?,À quelle fréquence jettes-tu de la nourriture?,How often do you throw away food?,,
4.question3.answer0,Sehr selten.,Très rarement.,Very rarely.,,
4.question3.answer1,Hin und wieder.,De temps en temps.,Every now and then.,,
4.question3.answer2,1- bis 2-mal pro Monat.,1 à 2 fois par mois.,Once or twice a month.,,
4.question3.answer3,Jede Woche.,Toutes les semaines.,Every week.,,
4.question4,"Planst du im Voraus, was du in den kommenden Tagen essen willst?",Est-ce que tu prévois à l’avance ce que tu vas manger les jours suivants?,Do you plan your menu ahead?,,
4.question4.answer0,"Ja, ich mache einen Menüplan und schreibe eine Einkaufsliste.","Oui, je fais un plan des menus et une liste de commissions.","Yes, I plan my meals and write a shopping list.",,
4.question4.answer1,"Ja, ich mache einen groben Menüplan.","Oui, je fais plus ou moins un menu.","Yes, I make a rough plan.",,
4.question4.answer2,"Nein, ich entscheide beim Einkaufen, was es heute gibt.","Non, je décide en fonction de ce que je trouve.","No, I decide when I’m shopping what I’m going to cook today.",,
4.question4.answer3,"Nein, ich esse meistens, worauf ich gerade Lust habe.","Non, j’achète généralement ce qui me fait envie.","No, I usually eat whatever I feel like eating.",,
4.question5,Magst du Hafermilch?,Aimes-tu le lait d’avoine?,Do you like oat milk?,,
4.question5.answer0,"Ja, finde ich besser als Kuhmilch, zum Beispiel auch für einen Cappuccino mit Schaum.","Oui, je le préfère au lait de vache, y compris dans un cappuccino.","Yes, I prefer it to cow’s milk and like to use it in cappuccino for the foam.",,
4.question5.answer1,"Ja, aber ich trinke sie nicht so oft.","Oui, mais je n’en bois pas souvent.","Yes, but I don’t have it very often.",,
4.question5.answer2,Der Kaffee schmeckt halt schon nicht ganz so gut …,Le café n’est plus tout à fait aussi bon.,"Well, the coffee isn’t as nice...",,
4.question5.answer3,Habe ich noch nie probiert.,Je n’ai jamais goûté.,I have never tried it.,,
4.dialogue4,"Jetzt hast du alle meine Fragen beantwortet. War doch gar nicht so schlimm, oder?","Tu as répondu à toutes mes questions. C’était pas si dur, ou bien?","You have answered all my questions. That wasn’t so bad, was it?",,
4.dialogue5,"Bei der letzten Station erfährst du, was du für die Umwelt tun kannst. Das wird super, ich schwör’s!","À la dernière station, tu apprendras ce que tu peux faire pour l’environnement. Promis-juré, c’était super!","At the last terminal you will find out what you can do for the environment. It will be great, I promise!",,
4.dialogue6,"Gut, bis zur nächsten Station.
Tschüss!","On se voit à la prochaine station, tchao!","OK, see you at the next terminal. Bye!",,
,,,,,
5.dialogueStart1,Bitte geh zum Anfang der Ausstellung und melde dich bei einer der Computerstationen an.,Va au début de l’exposition et annonce-toi à une station.,Please go to the beginning of the exhibition and log in at one of the computer terminals.,,
5.dialogueStart2,"Du hast leider einige Stationen übersprungen. Geh zu einer Computerstation im Bereich Kleidung, Wohnen, Mobilität oder Ernährung.","Tu as malheureusement sauté quelques stations. Va à celle qui est dans la zone de l’habillement, du logement, de la mobilité ou de l’alimentation.","Unfortunately you have skipped some of the terminals. Go to a terminal in the clothes, living, mobility or food areas.",,
5.dialogueStart3,"Hallihallo, ich habe schon auf dich gewartet. Du hast noch nicht alle Stationen besucht. Möchtest du die Auswertung trotzdem machen?","Coucou, je t’attendais. Tu n’as pas encore vu toutes les stations. Tu veux quand même faire l’évaluation?","Hi there, I have been waiting for you. You haven’t visited all the terminals yet. Would you like to do the evaluation anyway?",,
5.dialogueStart4,"Hallihallo, ich habe schon auf dich gewartet. Bist du bereit für die Auswertung?","Coucou, je t’attendais. Tu es prêt.e pour l’évaluation?","Hi there, I have been waiting for you. Are you ready to do the evaluation?",,
5.dialogue2,"Gut, dann wollen wir mal.","C’est bien, alors allons-y.","OK, let's go.",,
5.dialogue3,"Wir schliessen jetzt ein Weltwandels-Abkommen ab. Du weisst nicht, was das ist?",Nous allons conclure un accord sur le changement mondial. Tu ne sais pas ce que c’est?,We are going to sign a world change agreement. You don’t know what that is?,,
5.dialogue4,"Ganz einfach: Wir entscheiden zusammen, was du für die Umwelt tun kannst. Damit sich die Welt verändert.",C’est simple: nous décidons ensemble de ce que tu peux faire pour l’environnement. Afin que le monde change.,"It’s very simple: together, we will decide what you can do for the environment so that the world can change.",,
5.dialogue5,Schau mal auf die Wand in diesem Raum. Dort siehst du ganz viele Weltwandels-Abkommen.,Regarde le mur de cette salle. Tu peux y voir toutes sortes d’accords sur le changement mondial.,Have a look at the wall in this room. You will see many other world change agreements.,,
5.dialogue6,"Ich habe mir alle deine Antworten gemerkt. Einen Moment noch, die Auswertung läuft …","J’ai noté toutes tes réponses. Attends un peu, l’évaluation est en cours...","I have saved all your answers. Just a moment, the evaluation is ongoing...",,
5.dialogue7,"Hier ist das Resultat! Der Balken zeigt an, wie umweltbewusst du in den einzelnen Bereichen lebst.",Voilà le résultat! La barre indique à quel point ton mode de vie est écologique dans les différents domaines de la vie.,Here is your result! The bar shows how environmentally friendly your lifestyle is in different areas.,,
5.result,Dein Umweltbewusstsein,Ta conscience écologique,Your environmental awareness,,
5.areaSelection1,In welchem Bereich möchtest du aktiv werden?,Dans quel domaine souhaites-tu agir?,Which of the areas would you like to change?,,
5.areaSelection1.answer0,Kleidung,Habillement,Clothes,,
5.areaSelection1.answer1,Wohnen,Logement,The home,,
5.areaSelection1.answer2,Mobilität,Mobilité,Mobility,,
5.areaSelection1.answer3,Ernährung,Alimentation,Food,,
5.areaSelection1.special,Special Engagement,Engagement spécial,Special involvement,,
5.dialogue8,"Gute Wahl! Also, ich schlage dir zwei Weltwandels-Abkommen vor und du kannst eines davon auswählen.",Bon choix! Je te propose donc deux accords sur le changement mondial et tu peux choisir l’un des deux.,"Great choice! OK, I will propose two world change agreements and you can choose one of them.",,
5.wwaSelection2,Welches Weltwandels-Abkommen möchtest du abschliessen?,Quel accord sur le changement mondial souhaites-tu conclure?,Which world change agreement would you like to sign?,,
5.wwaSelection2.count,## Leute haben dieses Abkommen bereits abgeschlossen.,## des gens ont déjà conclu cet accord.,## people have already signed this agreement.,,
5.dialogueClothes,"Grossartig! Weniger und schlauer einkaufen, das passt bestens bei Kleidern.","Génial! Acheter moins et malin, c’est parfait pour les vêtements.",Great! Buying less and being clever about what you buy, that really suits the planet.,
5.dialogueLiving,Toll! Weniger Energieverbrauch schenkt beim Wohnen besonders ein.,"Super! Consommer moins d’énergie, c’est particulièrement payant dans le logement.",Brilliant! Using less energy in the home is very cool.,,
5.dialogueMobility,"Kluge Entscheidung! Bahn und Muckis statt Verbrennungsmotoren, das bringt uns voran.","Sage décision! Le train et les biscoteaux plutôt que les moteurs à combustion, ça nous fait avancer.",A wise decision! Taking the train and using your muscles instead of combustion engines, that will get us further.,
5.dialogueFood,"Weniger Tier, mehr Neues ausprobieren! Das schmeckt mir!","Moins de produits animaux, plus de nouveauté! Ça me plaît!",Less animals and tasting more new things! Sweet!,,
5.dialogueSpecial,Mutig! Du packst das!,Courageux! Tu vas le faire!,Very brave! You can do this!,,
5.dialogueGeneral,"Eine Herausforderung, genau das Richtige für dich. Super!","Un défi, c’est exactement ce qu’il te faut. Super!","A challenge, exactly what you need. Fantastic!",,
5.wwaConfirmation3,"Bist du sicher, dass du dieses Weltwandels-Abkommen abschliessen willst?",Tu es sûr.e de vouloir conclure cet accord?,Are you sure this is the world change agreement you would like to sign?,,
5.wwaConfirmation4,Nimmst du die Herausforderung wirklich an?,Tu veux vraiment relever ce défi?,Are you really going to accept the challenge?,,
5.wwaConfirmation4.accept,Aber sicher! Ich will doch die Welt retten.,Bien sûr! Il faut sauver le monde.,"Sure! After all, I want to save the world.",,
5.wwaConfirmation4.rethink,Ich muss es mir nochmals überlegen.,Il faut encore que j’y réfléchisse.,I would like to think about it again.,,
5.dialogue9,"Wow!! Du bist super! Herzlichen Dank, dass du mithilfst, die Welt zu retten!",Ouah! Tu es super! Un grand merci d’aider à sauver le monde!,Wow! You are great! Thank you so much for helping to save the world!,,
5.emailAccept5,Möchtest du dir das Weltwandels-Abkommen nach Hause mailen?,Tu aimerais envoyer l’accord sur le changement mondial chez toi par mail?,Would you like to email the world change agreement to yourself?,,
5.emailPrompt6,Weltwandels-Abkommen zuschicken.,Envoyer l’accord sur le changement mondial.,Send the world change agreement.,,
5.emailPrompt6.question,Gib deine E-Mail-Adresse ein.,Saisis ton adresse électronique.,Enter your email address.,,
5.emailPrompt6.textField,E-Mail-Adresse eingeben.,Saisir l’adresse électronique.,Enter email address.,,
5.emailPrompt6.newsletter,Ich will auch den Newsletter des Museums erhalten.,J’aimerais aussi recevoir la newsletter du musée.,I would also like to receive the Museum Newsletter.,,
5.dialogue10,Ich wünsche dir viel Erfolg beim Weltwandel. Tschüss! Wir schaffen das!,Je te souhaite beaucoup de succès dans le changement mondial. Tchao! On va y arriver!,Good luck with your world change. Bye! We can do this!,,
,,,,,
